formula,mp_id,crystal_system,material_class,density,band_gap_calibrated,theoretical_efficiency_pct,ed_est_ev,radiation_resistance_score,penetration_depth_um_Ni63,carriers_per_electron_Ni63,t_max_ev_Ni63,is_immune_Ni63,penetration_depth_um_H3,carriers_per_electron_H3,t_max_ev_H3,is_immune_H3,penetration_depth_um_C14,carriers_per_electron_C14,t_max_ev_C14,is_immune_C14,penetration_depth_um_Pm147,carriers_per_electron_Pm147,t_max_ev_Pm147,is_immune_Pm147
Tm6WO12,mp-756123,Trigonal,Оксидные полупроводники (простые и тройные),9.470779162564607,3.5121399162113134,17.59754662368742,35.63296898181195,88.67010645949323,0.6260881239354941,1683.7636796143227,5.346583480571886,1,0.08880865214681023,551.5777571150368,1.4205579720041115,1,3.9015158852445997,4790.017364420056,13.536495152783196,1,5.785750985519796,5999.617708970575,20.484643392194876,1
YTa3O9,mp-752515,Monoclinic,Оксидные полупроводники (простые и тройные),7.9850134028591695,3.5844167521073858,17.38608648267673,36.02959653794714,89.65708589545399,0.7425838954727705,1651.4231286170834,2.6211170745176506,1,0.10533321483296364,540.9834386849067,0.6964164628294315,1,4.627468168701965,4698.014072789979,6.636151610278481,1,6.862301552784875,5884.381262888458,10.042422185268869,1
LaZrTa3O11,mp-1222999,Monoclinic,Сложные оксиды,7.161996553361064,3.687353267187355,17.06209523005424,36.31015289681224,90.35523042057493,0.8279175106995494,1607.4513094120182,2.6371163932193826,1,0.11743752261549803,526.5788772211783,0.7006673942533899,1,5.159231098910381,4572.921828499707,6.676658730543376,1,7.650879118020997,5727.700068019835,10.103721207216992,1
Er2WO6,mp-17201,Monoclinic,Оксидные полупроводники (простые и тройные),9.350345403699459,3.6982017693257903,17.02644172579606,35.679101802008645,88.7849046981751,0.6341522266922273,1602.9531254643357,4.142274297010303,1,0.08995252002933317,525.1053342038341,1.100579612425,1,3.9517679564831862,4560.125270717507,10.487421761341466,1,5.86027226884781,5711.6720562522305,15.87051097495155,1
Lu2Pt2O7,mp-753414,Cubic,Оксидные полупроводники (простые и тройные),11.1702951464384,1.5281170079090187,16.950605390515225,26.507517583933208,65.96207033278556,0.5308313057411068,3641.1365902852704,3.060563005672871,1,0.0752967689019064,1192.7861244037954,0.8131748419019204,1,3.3079157590720274,10358.405817190856,7.7487420596015815,1,4.9054719821722745,12974.16486193602,11.726094239128363,1
Y6WO12,mp-19005,Trigonal,Оксидные полупроводники (простые и тройные),5.878680873802693,3.733669233341858,16.90793414104907,36.37796359685745,90.52397251992596,1.0086518532620823,1588.4211252092578,3.268336591836155,1,0.143074126706829,520.3448513616535,0.8683791467198758,1,6.285490936079265,4518.784235509095,8.27478381172154,1,9.321065567215143,5659.8913656881605,12.522147987159823,1
LaTa7O19,mp-14485,Hexagonal,Оксидные полупроводники (простые и тройные),8.371812139515342,3.7410658838546604,16.882849040475865,36.34323070362974,90.43754218790062,0.7082746553890918,1585.423655036934,2.4702870129178525,1,0.1004665558890755,519.3629214776163,0.656341740868755,1,4.413667522946649,4510.256949674036,6.25427963443471,1,6.545245994569191,5649.210724844247,9.464539124820671,1
Tm2WO6,mp-778814,Monoclinic,Оксидные полупроводники (простые и тройные),9.53189637888214,3.773373150688018,16.771808780591954,35.83743833457177,89.17891388685555,0.6220737324877252,1572.4627685568928,4.142274297010303,1,0.08823922321175065,515.1171138376028,1.100579612425,1,3.8764998988294446,4473.385462273919,10.487421761341466,1,5.74865354126675,5603.028255777434,15.87051097495155,1
NdTa7O19,mp-14676,Hexagonal,Оксидные полупроводники (простые и тройные),8.445368414215226,3.7962772829089393,16.69165748853438,36.34131956100152,90.43278644553207,0.7021058250243828,1563.4018211403334,2.638370074271083,1,0.09959152649773606,512.148872442523,0.7010004904481498,1,4.375225986138691,4447.608629106121,6.679832803769981,1,6.4882391372313295,5570.742121304636,10.108524500640721,1
La6WO12,mp-755135,Trigonal,Оксидные полупроводники (простые и тройные),6.610213244583136,3.803477550155795,16.666219546733636,36.5018659292278,90.83229465293336,0.8970273936255415,1560.5749069093513,2.45746323691239,1,0.1272405444554612,511.2228143323737,0.6529345337612722,1,5.589894604182257,4439.566545517982,6.221812362134725,1,8.289531342782592,5560.669208527574,9.415406724780938,1
